name	start	end	strand	col	fill	lwd
L	1092261781	1092261781	1	8	8	0.01
L	882294147	882294147	1	8	8	0.01
L	1051073849	1051073849	1	8	8	0.01
L	1050885638	1050885638	1	8	8	0.01
L	1046542741	1046542741	1	8	8	0.01
L	1042900815	1042900815	1	8	8	0.01
L	4465747477	4465747477	1	8	8	0.01
L	4465556473	4465556473	1	8	8	0.01
L	4464718567	4464718567	1	8	8	0.01
L	4462540935	4462540935	1	8	8	0.01
L	4288048930	4288048930	1	8	8	0.01
L	773354885	773354885	1	8	8	0.01
L	407011145	407011145	1	8	8	0.01
L	4522425700	4522425700	1	8	8	0.01
L	3813124450	3813124450	1	8	8	0.01
L	4219763539	4219763539	1	8	8	0.01
L	242886295	242886295	1	8	8	0.01
L	4585484118	4585484118	1	8	8	0.01
L	4391166102	4391166102	1	8	8	0.01
L	4258454262	4258454262	1	8	8	0.01
L	2713475106	2713475106	1	8	8	0.01
L	261273379	261273379	1	8	8	0.01
L	4516506788	4516506788	1	8	8	0.01
L	4236662273	4236662273	1	8	8	0.01
L	4447097392	4447097392	1	8	8	0.01
L	3029017064	3029017064	1	8	8	0.01
L	4553309802	4553309802	1	8	8	0.01
L	4239037825	4239037825	1	8	8	0.01
L	4468213361	4468213361	1	8	8	0.01
L	1092308285	1092308285	1	8	8	0.01
L	1041085095	1041085095	1	8	8	0.01
L	1041005748	1041005748	1	8	8	0.01
L	4268521224	4268521224	1	8	8	0.01
L	4268553815	4268553815	1	8	8	0.01
L	3811610226	3811610226	1	8	8	0.01
L	2682507742	2682507742	1	8	8	0.01
L	633552918	633552918	1	8	8	0.01
L	2782021130	2782021130	1	8	8	0.01
L	2719746375	2719746375	1	8	8	0.01
L	2780442449	2780442449	1	8	8	0.01
L	2777248536	2777248536	1	8	8	0.01
L	2720188277	2720188277	1	8	8	0.01
L	2727633626	2727633626	1	8	8	0.01
L	3763425971	3763425971	1	8	8	0.01
L	3763661988	3763661988	1	8	8	0.01
L	628815743	628815743	1	8	8	0.01
L	631669405	631669405	1	8	8	0.01
L	632040032	632040032	1	8	8	0.01
L	3668228250	3668228250	1	8	8	0.01
L	4582128952	4582128952	1	8	8	0.01
L	731087670	731087670	1	8	8	0.01
L	768639796	768639796	1	8	8	0.01
L	843656203	843656203	1	8	8	0.01
L	691248696	691248696	1	8	8	0.01
